release_date,version_name,version_code,release_type,details
28/01/2026,v0.85.0,1642,Beta,"fix: Solución al crash 'Fragment not attached' y corrección de espaciado en RecyclerView (WRAP_CONTENT fix)."
18/01/2026,v0.80.0,1567,Beta,"refactor: Reconstrucción total del Horario: Migración a TableLayout con stretchColumns y soporte multi-grupo sincronizado con la BD."
08/01/2026,v0.75.0,1498,Beta,"feat: Implementación de notificaciones con sonidos personalizados fijos (res/raw/tono_1) y soporte de canales."
29/12/2025,v0.70.0,1423,Beta,"feat: Migración de IDs a Long (timestamps) para resolver colisiones de datos. fix: Resolución de ClassCastException en DataConversionHelper."
19/12/2025,v0.65.0,1356,Beta,"fix: Solución a NullPointerException (edittextPwdRr) y corrección de error de compilación (Build can't be resolved)."
10/12/2025,v0.60.0,1289,Beta,"refactor: Inicio de la arquitectura de Helpers (Dialog, FilePicker, Avatar) para reducir ~1500 líneas duplicadas de las Actividades."
30/11/2025,v0.55.0,1212,Beta,"refactor: Gran Purga de Idioma y Recursos (Termux/DayDream): Reorganización masiva en paquetes (ui, data, utils). feat: Resaltado de sintaxis (160+ lenguajes)."
20/11/2025,v0.50.0,1145,Beta,"refactor: Migración a WebView mediante MarkdownHtmlGenerator tras agotar posibilidades técnicas de Spans en TextView."
10/11/2025,v0.45.0,1078,Beta,"feat: Implementación de Markwon y JLatexMath. logic: Trabajo intenso de personalización de Spans y carga dinámica de gramáticas JSON."
31/10/2025,v0.40.0,1024,Beta,"feat: Adaptación para Android 13/14. logic: Diagnóstico de Scoped Storage y pérdida de acceso a la carpeta /PreuSync/ externa."
21/10/2025,v0.36.0,968,Beta,"feat: Implementación de PersistentService y sistema híbrido de fondo (AlarmManager + WorkManager) para dispositivos Samsung."
11/10/2025,v0.33.0,901,Beta,"feat: Gestión centralizada de temas en ThemeManager. fix: Resolución de bug de doble apertura de HomeActivity mediante cancelación de timers."
01/10/2025,v0.30.0,845,Beta,"feat: Desarrollo inicial de HorarioActivity (8 turnos) y comunicación nativa mediante HttpURLConnection (postRequest)."
21/09/2025,v0.27.0,789,Beta,"style: Rediseño de BottomSheets con esquinas redondeadas. logic: Implementación de BounceInterpolator en animaciones táctiles."
12/09/2025,v0.25.0,723,Beta,"feat: Soporte para subida de imágenes Base64 y lógica de detección automática JSON/Base64 en el servidor."
02/09/2025,v0.23.0,657,Beta,"feat: Programación de recordatorios académicos y primera inclusión de ajustes de usuario (velocidad de animaciones)."
23/08/2025,v0.21.0,589,Beta,"feat: Estructura base para tareas asíncronas y optimización de sincronización de datos."
13/08/2025,v0.19.0,524,Beta,"feat: Implementación experimental de caché segmentado con ofuscación XOR (MultiStepCoder)."
03/08/2025,v0.17.0,468,Beta,"feat: Información del rol consolidada en columna JSON única. style: Efecto Blur en cabeceras de noticias mediante RenderScript."
24/07/2025,v0.15.0,412,Beta,"feat: Refactorización de Usuarios: Celdas separadas (Escuela/Tutor) unificadas en campo JSON de rol."
14/07/2025,v0.13.0,356,Beta,"feat: Módulo de avatares dinámicos (inicial/rol) y soporte para almacenamiento JSON en perfiles."
04/07/2025,v0.12.0,312,Alpha,"feat: Implementación de BottomSheets para detalles y preview Markdown."
24/06/2025,v0.10.0,268,Alpha,"feat: Introducción de Efemérides con ranking por columna Importancia."
16/06/2025,v0.9.0,215,Alpha,"feat: Lógica de interacción social inicial (Likes/Dislikes) y registro de votos en GAS."
06/06/2025,v0.8.0,178,Alpha,"feat: Apertura del módulo de creación de publicaciones con imágenes (FilePickerHelper)."
26/05/2025,v0.7.0,124,Alpha,"feat: Diseño inicial del feed con carruseles horizontales y detección de clics en ViewPager."
16/05/2025,v0.6.0,89,Alpha,"feat: Implementación del módulo de Eventos y carga de imágenes remotas vía Glide."
06/05/2025,v0.5.0,56,Alpha,"feat: Autenticación inicial (Texto Plano) y persistencia local de sesión (sesionID)."
26/04/2025,v0.4.0,42,Alpha,"feat: Reorganización del backend en Sheets independientes y enrutador ROUTES."
16/04/2025,v0.3.0,28,Alpha,"feat: Integración con Google Apps Script y funciones core (createUser, login)."
06/04/2025,v0.2.0,12,Alpha,"feat: Implementación de RequestNetwork (OkHttp Wrapper) para comunicación con el servidor."
27/03/2025,v0.1.0,1,Alpha,"Génesis del proyecto PreuSync en Sketchware. Primeros esquemas y prototipo funcional."
